Group,Location Name,Latitude,Longitude,Asset ID
WTW,ASHFORD WTW,51.15291,0.88739903,101753
WTW,ASHINGTON WTW,50.92911,-0.3848486,101675
WTW,ASHLETT CREEK FAWLEY WTW,50.82508,-1.3408897,102314
WTW,AYLESFORD WTW,51.3086,0.46778128,101208
WTW,BARTON STACEY WTW,51.17714,-1.3778668,103056
WTW,BATTLE WTW,50.91842,0.49905372,102534
WTW,BEXHILL AND HASTINGS WTW,50.85711,0.508463241,107431
WTW,BIDBOROUGH WTW,51.16093,0.23200101,102931
WTW,BILLINGSHURST WTW,51.01212,-0.4653335,101238
WTW,BISHOPS WALTHAM WTW,50.94118,-1.2296955,100041
WTW,BOSHAM WTW,50.81587,-0.8539794,100609
WTW,BROCKENHURST WTW,50.8231,-1.5603474,102387
WTW,BROOMFIELD BANK WTW,51.11461,1.26337553,100206
WTW,BUDDS FARM HAVANT WTW,50.84532,-0.99561413,102480
WTW,CANTERBURY WTW,51.29513,1.10831011,101631
WTW,CHARTHAM WTW,51.25891,0.0333865847,101466
WTW,CHICHESTER WTW,50.82851,-0.8058328,100834
WTW,CHICKENHALL EASTLEIGH WTW,50.96044,-1.3388051,101307
WTW,COXHEATH WTW,51.24097,0.506341703,102519
WTW,CRANBROOK WTW,51.09692,0.54403498,101324
WTW,DAMBRIDGE WINGHAM WTW,51.27121,1.22853405,101877
WTW,DITTON WTW,51.30364,0.45097237,103234
WTW,DYMCHURCH WTW,51.047,1.01605064,102993
WTW,EAST WORTHING WTW,50.82026,-0.3413577,101376
WTW,EASTBOURNE WTW,50.78493,0.32692328,100174
WTW,EDEN VALE EAST GRINSTEAD WTW,51.14061,-0.0105107,102997
WTW,EDENBRIDGE WTW,51.20609,0.07857777,100644
WTW,FAVERSHAM WTW,51.32286,0.91050956,100668
WTW,FELBRIDGE WTW,51.15286,-0.05459845,102289
WTW,FORD WTW,50.81832,-0.5890157,107426
WTW,FOREST ROW WTW,51.09795,0.0781664,100060
WTW,FULLERTON WTW,51.17177,-1.47407714,101246
WTW,GODDARDS GREEN WTW,50.97015,-0.16413907,101905
WTW,GODSTONE WTW,51.23649,-0.0436247,101944
WTW,GRAVESEND WTW,51.4398,0.39589028,101794
WTW,HAILSHAM NORTH WTW,50.87337,0.27236292,100532
WTW,HAILSHAM SOUTH WTW,50.85329,0.26975279,103000
WTW,HAM HILL WTW,51.32202,0.44586662,102708
WTW,HARESTOCK WTW,51.08855,-1.3278842,101718
WTW,HEADCORN WTW,51.16941,0.5998258,100311
WTW,HENFIELD WTW,50.94137,-0.2677313,100686
WTW,HORSHAM NEW WTW,51.05428,-0.3619624,102406
WTW,HORSMONDEN WTW,51.13884,0.4583305,100728
WTW,IVY DOWN LANE OAKLEY WTW,51.25607,-1.1919412,103121
WTW,LEEDS WTW,51.25144,0.61087192,102511
WTW,LENHAM WTW,51.22568,0.726295,102287
WTW,LIDSEY WTW,50.82216,-0.6593064,101468
WTW,LINGFIELD WTW,51.18709,-0.01648117,103158
WTW,LISS WTW,51.03819,-0.9001236,103117
WTW,LOXWOOD WTW,51.06572,-0.5065202,101022
WTW,LUDGERSHALL WTW,51.24649,-1.6127562,101055
WTW,LUXFORDS LANE EAST GRINSTEAD WTW,51.10993,0.00542922,101662
WTW,LYDD WTW,50.94763,0.88828513,102466
WTW,LYNDHURST WTW,50.88017,-1.5596413,102223
WTW,MAY STREET HERNE BAY WTW,51.36285,1.17102744,100070
WTW,MILFORD ROAD PENNINGTON WTW,50.73891,-1.5644239,102201
WTW,MILLBROOK WTW,50.91161,-1.448711,100368
WTW,MINSTER IOT WTW,51.32064,1.31193383,100544
WTW,MORESTEAD ROAD WINCHESTER WTW,51.04871,-1.3047513,100665
WTW,MOTNEY HILL WTW,51.38505,0.62788502,100710
WTW,NEAVES LANE RINGMER WTW,50.89351,0.07922079,101776
WTW,NEW ALRESFORD WTW,51.07212,-1.1580548,101574
WTW,NEW ROMNEY WTW,50.97764,0.95172599,101165
WTW,NEWBURY LANE CUCKFIELD WTW,50.99908,-0.1452816,103106
WTW,NEWHAVEN MAIN WTW,50.7878,0.0594599,108157
WTW,NEWICK WTW,50.97808,0.02282007,100387
WTW,NEWNHAM VALLEY PRESTON WTW,51.30522,1.20411652,101166
WTW,NORTHFLEET WTW,51.4369,0.32965029,100942
WTW,OVERTON WTW,51.24776,-1.2792279,103102
WTW,OXTED WTW,51.2341,0.00265756,101679
WTW,PADDOCK WOOD WTW,51.18201,0.40026912,100446
WTW,PEACEHAVEN WTW,50.795951,0.018384,111593
WTW,PEEL COMMON WTW,50.82648,-1.1991708,100592
WTW,PEMBURY WTW,51.15906,0.34821708,103159
WTW,PETERSFIELD WTW,51.00046,-0.9063315,100164
WTW,PORTSWOOD WTW,50.9297,-1.382571,100521
WTW,PULBOROUGH WTW,50.95165,-0.4886969,101932
WTW,QUEENBOROUGH WTW,51.40274,0.74289724,100504
WTW,REDGATE MILL CROWBOROUGH WTW,51.06636,0.21366155,102088
WTW,ROMSEY WTW,50.98685,-1.5145227,100793
WTW,RYE WTW,50.94493,0.743830556,103192
WTW,SANDOWN NEW WTW,50.6636,-1.148504,108922
WTW,SCAYNES HILL WTW,51.00271,-0.0395358,100676
WTW,SELLINDGE WTW,51.10541,0.97998979,101167
WTW,SHOREHAM WTW,50.82914,-0.2318153,103237
WTW,SIDLESHAM WTW,50.75452,-0.7975226,102205
WTW,SITTINGBOURNE WTW,51.3501,0.74433354,103224
WTW,SLOWHILL COPSE MARCHWOOD WTW,50.89817,-1.4563215,103202
WTW,SOUTH AMBERSHAM WTW,50.98092,-0.6931613,100115
WTW,STAPLEHURST WTW,51.17206,0.55861331,101943
WTW,STEYNING WTW,50.89579,-0.3153832,100697
WTW,STORRINGTON WTW,50.92823,-0.46981876,103208
WTW,SUMMER LANE PAGHAM WTW,50.78288,-0.7473456,100093
WTW,SWALECLIFFE WTW,51.36514,1.06240331,102571
WTW,TANGMERE WTW,50.85119,-0.6979822,101474
WTW,TENTERDEN WTW,51.06184,0.66391665,101364
WTW,THORNHAM WTW,50.84037,-0.9263979,101163
WTW,TONBRIDGE WTW,51.19262,0.28839363,100480
WTW,TUNBRIDGE WELLS NORTH WTW,51.15695,0.28854316,102261
WTW,TUNBRIDGE WELLS SOUTH WTW,51.12121,0.20590714,100248
WTW,UCKFIELD WTW,50.96575,0.08423842,102603
WTW,VINES CROSS WTW,50.93049,0.268556887,100550
WTW,WATERINGBURY WTW,51.25145,0.430453271,101286
WTW,WEATHERLEES HILL A WTW,51.31669,1.345251907,101814
WTW,WEATHERLEES HILL B WTW,51.316109,1.346901,110610
WTW,HYTHE WTW,51.05877,1.03362913,103282
WTW,WEST WELLOW WTW,50.97081,-1.550323,100359
WTW,WESTBERE WTW,51.30864,1.15681019,102079
WTW,WHITCHURCH WTW,51.21854,-1.3333078,102274
WTW,WHITEWALL CREEK WTW,51.40347,0.516022588,102535
WTW,WOOLSTON WTW,50.89189,-1.3827015,102604
WTW,BROOMFIELD BANK WwTW,51.11461,1.26337553,100206
WTW,CHICHESTER WwTW,50.82851,-0.8058328,100834
WTW,CHICKENHALL EASTLEIGH WwTW,50.96044,-1.3388051,101307
WTW,EASTBOURNE WwTW,50.78493,0.32692328,100174
WTW,EDENBRIDGE WwTW,51.20609,0.07857777,100644
WTW,HAILSHAM NORTH WwTW,50.87337,0.27236292,100532
WTW,HORSHAM NEW WwTW,51.05428,-0.3619624,102406
WTW,NEWHAVEN EAST WwTW,50.7878,0.0594599,108157
WTW,PEEL COMMON WwTW,50.82648,-1.1991708,100592
WTW,SCAYNES HILL WwTW,51.00271,-0.0395358,100676
WTW,SHOREHAM WwTW,50.82914,-0.2318153,103237
WTW,TUNBRIDGE WELLS NORTH WwTW,51.15695,0.28854316,102261
WTW,WEATHERLEES HILL B (MGATE & BSTAIRS) WwTW,51.316109,1.346901,110610
WTW,WOOLSTON WwTW,50.89189,-1.3827015,102604
WTW,PORTSWOOD WwTW,50.9297,-1.382571,100521
STC,EASTCHURCH WTW,51.38926,0.84360882,100505
STC,ASHFORD STC,51.15291,0.88739903,107419
STC,AYLESFORD STC,51.3086,0.46778128,109240
STC,BUDDS FARM HAVANT STC,50.84532,-0.99561413,108912
STC,CANTERBURY STC,51.29513,1.10831011,107420
STC,FORD STC,50.81832,-0.5890157,107427
STC,FULLERTON STC,51.17177,-1.47407714,107418
STC,GODDARDS GREEN STC,50.97015,-0.16413907,107430
STC,GRAVESEND STC,51.4398,0.39589028,107423
STC,HAM HILL STC,51.32202,0.44586662,111541
STC,HASTINGS STC,50.85711,0.508463241,107432
STC,MILLBROOK STC,50.91161,-1.448711,103264
STC,MOTNEY HILL STC,51.38505,0.62788502,107424
STC,PEACEHAVEN STC,50.793899,0.006999,111590
STC,QUEENBOROUGH STC,51.40274,0.74289724,107241
STC,SANDOWN STC,50.6636,-1.148504,108923
STC,WORTHING STC,50.82026,-0.3413577,107428
Other,Unknown STW,50.7182139,-1.2837316,
